corridorCode,marketPeriodStart,ftroption,identification,horizonName,bidGateOpening,bidGateClosure,isBidGateOpen,atcGateOpening,atcGateClosure,marketPeriodStop,disputeSubmissionGateOpening,disputeSubmissionGateClosure,provisionalAuctionresult,disputeProcessGateOpening,disputeProcessGateClosure,ltResaleGateOpening,ltResaleGateClosure,periodToBeSecuredStart,periodToBeSecuredStop,maintenances,results,xnRule,winningParties,operationalMessage,products,lastDataUpdate,cancelled
DE-CH,2019-01-31T23:00:00.000+00:00,PTR,DE-CH-M-BASE-------190201-01,Monthly,2019-01-09T12:00:00.000+00:00,2019-01-11T12:00:00.000+00:00,False,2018-11-21T15:30:00.000+00:00,2019-01-09T11:50:00.000+00:00,2019-02-28T23:00:00.000+00:00,2019-01-11T12:25:00.000+00:00,2019-01-13T12:25:00.000+00:00,,2019-01-11T12:25:00.000+00:00,2019-01-15T12:25:00.000+00:00,2018-11-21T15:30:00.000+00:00,2019-01-09T11:50:00.000+00:00,2019-01-10T23:00:00.000+00:00,2019-03-30T23:00:00.000+00:00,[],"[{'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 252.0, 'requestedCapacity': 2657.0, 'allocatedCapacity': 252.0, 'productIdentification': 'BASE------', 'productHour': 'Every day 00:00-24:00', 'auctionPrice': 10.41, 'additionalMessage': None}]",1/1,"[{'eicCode': '11XCNR-DDSVE-FOO'}, {'eicCode': '11XEDFTRADING--G'}, {'eicCode': '11XEON-H-------8'}, {'eicCode': '11XHSE-SLOVENIAG'}, {'eicCode': '12X-0000001875-A'}, {'eicCode': '12XATEL-HANDEL-K'}, {'eicCode': '12XEWZHANDEL88-K'}, {'eicCode': '28XELECTRADE---R'}]",,"[{'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 252.0, 'atc': 250.0, 'resoldCapacity': 2.0, 'productIdentification': 'BASE------', 'productHour': 'Every day 00:00-24:00', 'winnerPartyCount': 8}]",2020-12-23T16:12:00.550+00:00,False
DE-CH,2019-01-09T23:00:00.000+00:00,PTR,DE-CH-D-DAILYPRODU-190110-01,Daily,2019-01-09T07:46:00.000+00:00,2019-01-09T08:30:00.000+00:00,False,2019-01-03T06:05:00.000+00:00,2019-01-09T07:45:00.000+00:00,2019-01-10T23:00:00.000+00:00,2019-01-09T08:35:00.000+00:00,2019-01-09T09:05:00.000+00:00,,2019-01-09T08:35:00.000+00:00,2019-01-09T10:05:00.000+00:00,,,2019-01-08T23:00:00.000+00:00,2019-03-02T23:00:00.000+00:00,[],"[{'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1192.0, 'requestedCapacity': 5156.0, 'allocatedCapacity': 1191.0, 'productIdentification': 'B12-------', 'productHour': '11:00-12:00', 'auctionPrice': 0.56, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1192.0, 'requestedCapacity': 5006.0, 'allocatedCapacity': 1192.0, 'productIdentification': 'B13-------', 'productHour': '12:00-13:00', 'auctionPrice': 0.52, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1192.0, 'requestedCapacity': 5006.0, 'allocatedCapacity': 1192.0, 'productIdentification': 'B14-------', 'productHour': '13:00-14:00', 'auctionPrice': 0.52, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5501.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B15-------', 'productHour': '14:00-15:00', 'auctionPrice': 0.39, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5501.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B16-------', 'productHour': '15:00-16:00', 'auctionPrice': 0.39, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5551.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B17-------', 'productHour': '16:00-17:00', 'auctionPrice': 0.39, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5478.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B18-------', 'productHour': '17:00-18:00', 'auctionPrice': 0.26, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1792.0, 'requestedCapacity': 5476.0, 'allocatedCapacity': 1792.0, 'productIdentification': 'B19-------', 'productHour': '18:00-19:00', 'auctionPrice': 0.21, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5401.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B20-------', 'productHour': '19:00-20:00', 'auctionPrice': 0.28, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5351.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B21-------', 'productHour': '20:00-21:00', 'auctionPrice': 0.33, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5566.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B22-------', 'productHour': '21:00-22:00', 'auctionPrice': 0.77, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1592.0, 'requestedCapacity': 5574.0, 'allocatedCapacity': 1592.0, 'productIdentification': 'B23-------', 'productHour': '22:00-23:00', 'auctionPrice': 2.96, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 1567.0, 'requestedCapacity': 5684.0, 'allocatedCapacity': 1567.0, 'productIdentification': 'B24-------', 'productHour': '23:00-24:00', 'auctionPrice': 4.55, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 517.0, 'requestedCapacity': 4227.0, 'allocatedCapacity': 517.0, 'productIdentification': 'B01-------', 'productHour': '00:00-01:00', 'auctionPrice': 11.69, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 517.0, 'requestedCapacity': 4217.0, 'allocatedCapacity': 517.0, 'productIdentification': 'B02-------', 'productHour': '01:00-02:00', 'auctionPrice': 7.92, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 517.0, 'requestedCapacity': 4210.0, 'allocatedCapacity': 517.0, 'productIdentification': 'B03-------', 'productHour': '02:00-03:00', 'auctionPrice': 8.69, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 517.0, 'requestedCapacity': 4077.0, 'allocatedCapacity': 517.0, 'productIdentification': 'B04-------', 'productHour': '03:00-04:00', 'auctionPrice': 5.3, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 567.0, 'requestedCapacity': 4066.0, 'allocatedCapacity': 567.0, 'productIdentification': 'B05-------', 'productHour': '04:00-05:00', 'auctionPrice': 3.66, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 567.0, 'requestedCapacity': 4181.0, 'allocatedCapacity': 567.0, 'productIdentification': 'B06-------', 'productHour': '05:00-06:00', 'auctionPrice': 2.86, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 567.0, 'requestedCapacity': 4384.0, 'allocatedCapacity': 567.0, 'productIdentification': 'B07-------', 'productHour': '06:00-07:00', 'auctionPrice': 3.37, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 992.0, 'requestedCapacity': 4769.0, 'allocatedCapacity': 992.0, 'productIdentification': 'B08-------', 'productHour': '07:00-08:00', 'auctionPrice': 0.74, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 992.0, 'requestedCapacity': 4826.0, 'allocatedCapacity': 992.0, 'productIdentification': 'B09-------', 'productHour': '08:00-09:00', 'auctionPrice': 0.66, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 992.0, 'requestedCapacity': 4904.0, 'allocatedCapacity': 992.0, 'productIdentification': 'B10-------', 'productHour': '09:00-10:00', 'auctionPrice': 0.78, 'additionalMessage': None}, {'comment': None, 'corridorCode': 'DE-CH', 'offeredCapacity': 992.0, 'requestedCapacity': 4904.0, 'allocatedCapacity': 992.0, 'productIdentification': 'B11-------', 'productHour': '10:00-11:00', 'auctionPrice': 0.78, 'additionalMessage': None}]",1/1,"[{'eicCode': '11XCNR-DDSVE-FOO'}, {'eicCode': '11XDANSKECOM---P'}, {'eicCode': '11XDISAM-------V'}, {'eicCode': '11XEDFTRADING--G'}, {'eicCode': '11XED-H-GENERA-3'}, {'eicCode': '11XHSE-SLOVENIAG'}, {'eicCode': '11XIGET--------D'}, {'eicCode': '11XNEAS--------Q'}, {'eicCode': '11XRWETRADING--0'}, {'eicCode': '11XSTATKRAFT001N'}, {'eicCode': '12X-0000001836-N'}, {'eicCode': '12X-0000001905-X'}, {'eicCode': '12XAET-HANDEL--3'}, {'eicCode': '12XATEL-HANDEL-K'}, {'eicCode': '12XBKW-HANDEL--X'}, {'eicCode': '12XEGL-H-------0'}, {'eicCode': '12XEWZHANDEL88-K'}, {'eicCode': '12XIWB-HANDEL--T'}, {'eicCode': '12XOMPEX-------F'}, {'eicCode': '18XGNRA-12345-15'}, {'eicCode': '23X--130612-TSD8'}, {'eicCode': '23X--131210-MEE0'}, {'eicCode': '23X--161129-ME-L'}, {'eicCode': '26X00000003181-Q'}, {'eicCode': '28X-INTERENERGO8'}, {'eicCode': '45X000000000043A'}]",,"[{'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1567.0, 'atc': 1567.0, 'resoldCapacity': None, 'productIdentification': 'B24-------', 'productHour': '23:00-24:00', 'winnerPartyCount': 16}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B23-------', 'productHour': '22:00-23:00', 'winnerPartyCount': 18}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B22-------', 'productHour': '21:00-22:00', 'winnerPartyCount': 15}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B21-------', 'productHour': '20:00-21:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B20-------', 'productHour': '19:00-20:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1792.0, 'atc': 1792.0, 'resoldCapacity': None, 'productIdentification': 'B19-------', 'productHour': '18:00-19:00', 'winnerPartyCount': 18}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B18-------', 'productHour': '17:00-18:00', 'winnerPartyCount': 18}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B17-------', 'productHour': '16:00-17:00', 'winnerPartyCount': 16}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B16-------', 'productHour': '15:00-16:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1592.0, 'atc': 1592.0, 'resoldCapacity': None, 'productIdentification': 'B15-------', 'productHour': '14:00-15:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1192.0, 'atc': 1192.0, 'resoldCapacity': None, 'productIdentification': 'B14-------', 'productHour': '13:00-14:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1192.0, 'atc': 1192.0, 'resoldCapacity': None, 'productIdentification': 'B13-------', 'productHour': '12:00-13:00', 'winnerPartyCount': 17}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 1192.0, 'atc': 1192.0, 'resoldCapacity': None, 'productIdentification': 'B12-------', 'productHour': '11:00-12:00', 'winnerPartyCount': 13}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 992.0, 'atc': 992.0, 'resoldCapacity': None, 'productIdentification': 'B11-------', 'productHour': '10:00-11:00', 'winnerPartyCount': 14}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 992.0, 'atc': 992.0, 'resoldCapacity': None, 'productIdentification': 'B10-------', 'productHour': '09:00-10:00', 'winnerPartyCount': 14}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 992.0, 'atc': 992.0, 'resoldCapacity': None, 'productIdentification': 'B09-------', 'productHour': '08:00-09:00', 'winnerPartyCount': 14}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 992.0, 'atc': 992.0, 'resoldCapacity': None, 'productIdentification': 'B08-------', 'productHour': '07:00-08:00', 'winnerPartyCount': 13}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 567.0, 'atc': 567.0, 'resoldCapacity': None, 'productIdentification': 'B07-------', 'productHour': '06:00-07:00', 'winnerPartyCount': 9}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 567.0, 'atc': 567.0, 'resoldCapacity': None, 'productIdentification': 'B06-------', 'productHour': '05:00-06:00', 'winnerPartyCount': 12}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 567.0, 'atc': 567.0, 'resoldCapacity': None, 'productIdentification': 'B05-------', 'productHour': '04:00-05:00', 'winnerPartyCount': 12}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 517.0, 'atc': 517.0, 'resoldCapacity': None, 'productIdentification': 'B04-------', 'productHour': '03:00-04:00', 'winnerPartyCount': 11}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 517.0, 'atc': 517.0, 'resoldCapacity': None, 'productIdentification': 'B03-------', 'productHour': '02:00-03:00', 'winnerPartyCount': 12}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 517.0, 'atc': 517.0, 'resoldCapacity': None, 'productIdentification': 'B02-------', 'productHour': '01:00-02:00', 'winnerPartyCount': 14}, {'comment': None, 'corridorCode': 'DE-CH', 'bidderPartyCount': 28, 'offeredCapacity': 517.0, 'atc': 517.0, 'resoldCapacity': None, 'productIdentification': 'B01-------', 'productHour': '00:00-01:00', 'winnerPartyCount': 11}]",2020-12-23T16:00:43.254+00:00,False
